"CubeId";"bopcapbalq"
"PublishingDate";"2020-12-18 09:00"

"Date";"D0";"D1";"Value"
"2001-Q4";"NA";"T65";"-2977.46476606"
"2001-Q4";"NA";"FGK";"-2977.46476606"
"2001-Q4";"NA";"OH1";"-11.7"
"2001-Q4";"NA";"US1";"3891.9"
"2001-Q4";"NA";"UNA";"1.8"
"2001-Q4";"NA";"T7";"318.93009269"
"2001-Q4";"NA";"G";
"2001-Q4";"NA";"RIWF";"21"
"2001-Q4";"NA";"S1";"159"
"2001-Q4";"NA";"T8";"138.93009269"
"2001-Q4";"NA";"W0";"-2938.54619524"
"2001-Q4";"NA";"BE";"3077.47628792"
"2001-Q4";"NA";"U";"0"
"2001-Q4";"NP";"T0";"41215.51620219"
"2001-Q4";"NP";"T1";"9987.375"
"2001-Q4";"NP";"B0";"5015.25"
"2001-Q4";"NP";"RE";"1680.375"
"2001-Q4";"NP";"K0";"3291.75"
"2001-Q4";"NP";"T2";"2207.92082794"
"2001-Q4";"NP";"T25";"69.74607162"
"2001-Q4";"NP";"KFR";"698.847745"
"2001-Q4";"NP";"LFR";"-629.10167338"
"2001-Q4";"NP";"T3";"2138.17475632"
"2001-Q4";"NP";"A";"648.92555377"
"2001-Q4";"NP";"K1";"1489.24920255"
"2001-Q4";"NP";"T4";"29020.22037425"
"2001-Q4";"NP";"T5";"25625.02037425"
"2001-Q4";"NP";"N0";"1136.35253464"
"2001-Q4";"NP";"T55";"24488.6678396"
"2001-Q4";"NP";"VGB";"23881.31462503"
"2001-Q4";"NP";"VGK";"2934.22314242"
"2001-Q4";"NP";"OH0";
"2001-Q4";"NP";"US0";
"2001-Q4";"NP";"T6";"-1350.1"
"2001-Q4";"NP";"N1";
"2001-Q4";"NP";"OH1";"-5.9"
"2001-Q4";"NP";"US1";"-1344.2"
"2001-Q4";"NP";"UNP";"4745.3"
"2001-Q4";"S";"KD";"18056.02599652"
"2001-Q4";"S";"D0";"3063.45"
"2001-Q4";"S";"P";"1459.48392717"
"2001-Q4";"S";"D2";
"2001-Q4";"S";"UI";"13214.16197666"
"2001-Q4";"S";"W1";"318.93009269"
"2002-Q1";"NA";"T0";"54532.64679817"
"2002-Q1";"NA";"T1";"1307.725"
"2002-Q1";"NA";"B0";"4189.55"
"2002-Q1";"NA";"RE";"-2035.075"
"2002-Q1";"NA";"K0";"-846.75"
"2002-Q1";"NA";"T2";"20333.76731981"
"2002-Q1";"NA";"T25";"21247.21513799"
"2002-Q1";"NA";"KFR";"-2837.29309272"
"2002-Q1";"NA";"LFR";"24084.50823071"
"2002-Q1";"NA";"T3";"-913.44781818"
"2002-Q1";"NA";"A";"-3326.04092231"
"2002-Q1";"NA";"K1";"2412.59310413"
"2002-Q1";"NA";"T4";"32233.90753375"
"2002-Q1";"NA";"T5";"22333.06869013"
"2002-Q1";"NA";"N0";"-4136.58924078"
"2002-Q1";"NA";"T55";"29270.55793091"
"2002-Q1";"NA";"FGB";"31779.89561875"
"2002-Q1";"NA";"OH0";
"2002-Q1";"NA";"US0";"-2800.9"
"2002-Q1";"NA";"T6";"9900.83884363"
"2002-Q1";"NA";"N1";"-5.15081823"
"2002-Q1";"NA";"T65";"10145.78966185"
"2002-Q1";"NA";"FGK";"10145.78966185"
"2002-Q1";"NA";"OH1";"0"
"2002-Q1";"NA";"US1";"-239.8"
"2002-Q1";"NA";"UNA";"0"
"2002-Q1";"NA";"T7";"657.24694461"
"2002-Q1";"NA";"G";
"2002-Q1";"NA";"RIWF";"-80"
"2002-Q1";"NA";"S1";"-202"
"2002-Q1";"NA";"T8";"939.24694461"
"2002-Q1";"NA";"W0";"685.20542663"
"2002-Q1";"NA";"BE";"254.04151798"
"2002-Q1";"NA";"U";"0"
"2002-Q1";"NP";"T0";"49606.94298699"
"2002-Q1";"NP";"T1";"3309.5"
"2002-Q1";"NP";"B0";"1558.425"
"2002-Q1";"NP";"RE";"398.1"
"2002-Q1";"NP";"K0";"1352.975"
"2002-Q1";"NP";"T2";"277.961018"
"2002-Q1";"NP";"T25";"-717.61081801"
"2002-Q1";"NP";"KFR";"46.00472025"
"2002-Q1";"NP";"LFR";"-763.61553826"
"2002-Q1";"NP";"T3";"995.57183601"
"2002-Q1";"NP";"A";"1484.39499489"
"2002-Q1";"NP";"K1";"-488.82315889"
"2002-Q1";"NP";"T4";"46019.481969"
"2002-Q1";"NP";"T5";"48744.581969"
"2002-Q1";"NP";"N0";"-29.79982599"
"2002-Q1";"NP";"T55";"48774.38179498"
"2002-Q1";"NP";"VGB";"45997.37155907"
"2002-Q1";"NP";"VGK";"3079.64352983"
"2002-Q1";"NP";"OH0";
"2002-Q1";"NP";"US0";
"2002-Q1";"NP";"T6";"-3125.1"
"2002-Q1";"NP";"N1";
"2002-Q1";"NP";"OH1";"-78.6"
"2002-Q1";"NP";"US1";"-3046.5"
"2002-Q1";"NP";"UNP";"400"
"2002-Q1";"S";"KD";"4925.70381117"
"2002-Q1";"S";"D0";"-2001.775"
"2002-Q1";"S";"P";"20055.80630181"
"2002-Q1";"S";"D2";
"2002-Q1";"S";"UI";"-13785.57443524"
"2002-Q1";"S";"W1";"657.24694461"
"2002-Q2";"NA";"T0";"32713.45931993"
